
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002/06/20	1511.11	1528.36	1510.53	1516.15	5680637	3876609792.00
2002/06/21	1517.28	1564.92	1517.26	1562.72	17967910	12360775680.00
2002/06/24	1704.70	1709.07	1647.50	1707.31	85052024	53198041088.00
2002/06/25	1718.23	1748.89	1690.61	1706.59	52889984	40354029568.00
2002/06/26	1698.11	1719.08	1684.91	1712.91	29518865	23376420864.00
2002/06/27	1714.74	1730.67	1706.14	1723.55	26111977	19939252224.00
2002/06/28	1724.73	1747.23	1711.00	1732.76	40515934	28413198336.00
2002/07/01	1736.29	1740.38	1712.77	1713.70	20825567	14944960512.00
2002/07/02	1707.45	1725.89	1698.83	1724.95	15195034	12875247616.00
2002/07/03	1727.09	1736.08	1719.62	1730.92	15529262	13421115392.00
2002/07/04	1731.90	1735.83	1710.29	1713.14	17093658	13176299520.00
2002/07/05	1709.84	1722.48	1704.19	1722.19	14110243	11091697664.00
2002/07/08	1723.58	1737.86	1721.12	1732.93	12441422	11257762816.00
2002/07/09	1733.83	1741.92	1724.39	1729.99	11637809	10558038016.00
2002/07/10	1728.52	1729.73	1698.83	1701.82	15511806	12283042816.00
2002/07/11	1698.21	1712.20	1689.22	1696.94	11288694	9491441664.00
2002/07/12	1696.64	1706.44	1693.21	1698.30	9034470	8484572672.00
2002/07/15	1696.81	1697.38	1685.54	1687.94	9649918	8186137088.00
